Signal Name;I/O;Alternate function;Voltage Standards;Differential Pair;DQS Group;Prefered FPGA pin
CLK;O;;LVTTL33;;;
CKE;O;;LVTTL33;;;
CS_n;O;;LVTTL33;;;
RAS_n;O;;LVTTL33;;;
CAS_n;O;;LVTTL33;;;
WE_n;O;;LVTTL33;;;
DQML;O;;LVTTL33;;;
DQMH;O;;LVTTL33;;;
A[0-12];O;;LVTTL33;;;
BA[0-1];O;;LVTTL33;;;
DQ[0-15];O;;LVTTL33;;;
